category,authorLocation,requiredFunding,targetAudience,success
education,suburban,199598,patients parents tourists,1
infrastructure,rural,10746,tourists teachers teachers,1
infrastructure,inland,162349,patients developers teachers teachers patients parents parents farmers patients tourists tourists farmers youth farmers developers farmers farmers patients tourists smes patients youth farmers teachers tourists developers teachers tourists teachers developers,1
other,coastal,83579,commuters tourists teachers developers smes teachers commuters parents youth youth teachers seniors commuters farmers developers teachers tourists patients parents farmers,1
healthcare,urban,7804,farmers farmers seniors commuters teachers smes teachers youth commuters seniors teachers smes tourists parents commuters teachers patients teachers seniors smes,1
technology,urban,17211,parents developers tourists,1
infrastructure,rural,71544,smes farmers tourists parents seniors teachers smes parents developers teachers farmers commuters farmers tourists commuters tourists parents teachers smes teachers,1
healthcare,suburban,292437,farmers tourists seniors smes teachers smes seniors commuters tourists seniors,1
agriculture,rural,116313,youth commuters tourists commuters farmers patients tourists teachers farmers youth developers seniors parents patients farmers farmers teachers tourists smes youth,1
healthcare,inland,61074,developers developers farmers patients tourists seniors patients smes parents teachers parents smes seniors farmers parents parents commuters farmers youth smes,1
technology,coastal,219906,farmers smes teachers teachers developers patients tourists seniors teachers farmers parents parents patients commuters youth patients smes smes patients smes parents patients farmers seniors teachers parents patients tourists commuters youth,1
other,inland,219681,patients tourists teachers tourists smes seniors commuters teachers patients smes,0
education,coastal,152093,developers youth parents,1
technology,urban,120684,commuters teachers commuters,1
infrastructure,urban,228746,teachers seniors tourists commuters patients commuters parents parents seniors commuters,1
healthcare,coastal,74412,teachers commuters farmers parents parents youth patients smes teachers smes farmers parents teachers patients teachers smes tourists smes commuters teachers commuters smes parents farmers youth parents seniors patients parents seniors,1
healthcare,unknown,270427,smes developers tourists farmers smes youth commuters teachers patients farmers seniors patients smes parents commuters tourists developers tourists teachers tourists farmers patients patients commuters parents developers tourists farmers teachers commuters,1
agriculture,unknown,193951,commuters seniors smes farmers commuters tourists seniors farmers youth smes,0
technology,inland,290005,farmers tourists commuters,0
technology,inland,294085,smes commuters developers patients parents developers patients patients tourists patients seniors smes parents patients commuters seniors farmers developers tourists youth developers commuters smes teachers tourists youth parents youth developers youth,1
healthcare,unknown,254558,parents youth patients,0
infrastructure,rural,274435,parents developers developers,0
agriculture,unknown,153139,youth developers smes seniors farmers smes tourists patients commuters commuters teachers seniors farmers seniors commuters smes farmers parents commuters teachers developers parents smes parents teachers smes commuters youth youth commuters,1
technology,suburban,140957,seniors commuters seniors seniors youth developers commuters tourists farmers smes developers youth developers tourists parents farmers patients smes commuters farmers,1
education,inland,273917,developers parents seniors,0
infrastructure,unknown,269705,seniors tourists parents farmers developers smes parents commuters developers parents teachers teachers seniors tourists youth parents patients parents youth smes teachers tourists patients smes smes tourists tourists seniors parents parents,0
technology,urban,196897,smes parents patients developers seniors patients developers teachers commuters tourists,1
other,rural,217648,tourists parents tourists parents youth teachers smes tourists developers tourists,0
technology,suburban,97193,smes commuters farmers youth patients seniors tourists tourists patients tourists teachers parents commuters tourists parents tourists youth farmers tourists tourists parents farmers smes patients tourists developers farmers youth commuters parents,1
healthcare,urban,247733,teachers seniors tourists,1
education,coastal,217003,farmers youth seniors,1
infrastructure,inland,10789,developers developers youth developers tourists youth seniors patients commuters parents,1
infrastructure,rural,154928,farmers teachers commuters teachers teachers seniors farmers seniors farmers youth patients teachers commuters teachers patients smes youth seniors commuters parents,1
technology,urban,48573,tourists smes seniors,1
healthcare,inland,8714,farmers smes developers tourists smes smes farmers youth tourists tourists smes patients teachers parents commuters teachers commuters teachers farmers commuters,1
healthcare,inland,132364,youth smes developers,1
infrastructure,unknown,99436,seniors developers smes,0
agriculture,urban,41785,developers parents parents developers smes seniors patients farmers patients youth,1
infrastructure,rural,206031,smes tourists commuters tourists youth developers farmers developers parents teachers,0
agriculture,coastal,180076,commuters parents developers seniors teachers developers teachers farmers tourists youth seniors developers seniors tourists seniors seniors patients tourists farmers patients,1
technology,suburban,247902,parents youth teachers tourists youth patients teachers smes commuters patients patients patients tourists tourists youth tourists youth smes commuters teachers,1
healthcare,inland,48275,teachers seniors farmers youth farmers patients youth tourists teachers farmers youth farmers youth seniors parents youth patients patients tourists commuters,1
technology,urban,272227,teachers farmers developers youth smes patients parents tourists seniors developers farmers patients smes seniors farmers patients smes smes farmers smes farmers tourists smes commuters farmers developers smes farmers parents youth,1
infrastructure,inland,194149,tourists parents patients seniors seniors developers parents seniors commuters smes teachers commuters teachers teachers commuters tourists youth teachers teachers commuters,1
infrastructure,unknown,221147,tourists parents tourists developers smes commuters tourists parents patients developers patients smes youth commuters smes patients patients developers parents commuters farmers parents teachers youth youth seniors commuters patients developers farmers,1
infrastructure,urban,147356,youth smes developers seniors youth patients commuters developers commuters tourists farmers tourists teachers smes parents seniors youth parents commuters developers,1
infrastructure,suburban,51975,developers tourists youth parents youth commuters youth tourists commuters developers,1
infrastructure,urban,23258,seniors commuters commuters farmers youth commuters teachers youth patients seniors teachers teachers commuters seniors farmers parents smes parents parents youth,1
healthcare,suburban,38017,seniors patients farmers youth teachers farmers patients patients farmers smes commuters teachers patients seniors tourists tourists youth seniors patients patients,1
education,suburban,62804,developers smes farmers developers teachers youth tourists smes commuters farmers,1
technology,suburban,136236,youth developers tourists youth developers patients smes seniors parents seniors,1
technology,coastal,14653,developers developers youth seniors smes farmers farmers parents smes parents patients parents tourists farmers seniors teachers farmers commuters smes commuters,1
agriculture,suburban,223103,parents teachers teachers,1
education,inland,44779,teachers smes tourists youth smes teachers tourists farmers youth farmers youth teachers tourists commuters developers smes commuters tourists teachers youth farmers tourists smes parents seniors patients parents patients tourists developers,1
other,rural,176915,parents seniors youth youth seniors youth smes teachers developers farmers parents parents youth teachers smes teachers smes tourists patients patients,1
education,inland,201857,youth seniors farmers farmers smes farmers youth commuters commuters teachers,1
healthcare,inland,200147,teachers seniors parents,1
infrastructure,urban,206924,teachers smes smes commuters patients patients tourists seniors youth patients farmers smes smes smes teachers commuters commuters commuters youth teachers farmers developers developers patients parents seniors smes tourists commuters commuters,1
infrastructure,rural,153730,youth smes seniors tourists parents youth developers smes youth tourists,1
agriculture,coastal,85545,teachers parents teachers smes seniors farmers patients farmers youth tourists patients developers developers seniors tourists patients teachers farmers patients smes farmers smes farmers teachers developers developers smes youth tourists developers,1
agriculture,urban,282564,tourists developers seniors tourists youth patients patients commuters seniors farmers,1
agriculture,urban,170721,parents parents tourists commuters developers seniors commuters smes smes seniors patients developers parents developers youth patients seniors tourists patients tourists teachers patients patients farmers patients teachers tourists patients commuters developers,1
other,suburban,260506,commuters tourists developers smes smes developers commuters farmers patients commuters,0
other,inland,290020,smes parents commuters parents youth farmers smes smes tourists parents,0
healthcare,suburban,293882,patients commuters smes patients parents smes youth parents teachers seniors,1
other,rural,153069,patients tourists farmers youth parents farmers smes commuters developers youth,1
other,unknown,95820,parents patients youth parents youth seniors farmers developers developers parents youth patients developers parents farmers smes tourists parents seniors youth,1
agriculture,urban,117786,parents commuters teachers patients youth parents farmers developers teachers farmers commuters developers developers tourists parents tourists seniors developers seniors farmers teachers parents developers patients patients seniors youth developers smes tourists,1
infrastructure,urban,291425,parents farmers parents smes farmers teachers seniors youth developers tourists,0
technology,unknown,138261,seniors patients smes youth patients developers smes youth smes tourists commuters farmers farmers smes patients farmers seniors patients farmers patients parents parents farmers smes farmers developers teachers patients patients tourists,1
other,urban,77622,teachers parents smes patients patients developers smes teachers youth teachers parents seniors tourists smes parents commuters developers youth seniors parents parents patients developers teachers smes commuters smes patients commuters patients,1
infrastructure,urban,254129,farmers farmers commuters parents tourists farmers commuters farmers parents seniors teachers teachers seniors teachers smes teachers patients patients tourists teachers parents seniors patients developers developers farmers patients farmers farmers smes,1
education,inland,204611,teachers tourists tourists parents developers farmers smes patients tourists patients,1
agriculture,rural,256593,seniors smes farmers teachers commuters patients farmers tourists parents tourists,0
infrastructure,unknown,166058,tourists parents farmers commuters parents developers tourists youth seniors smes,0
other,urban,171202,commuters commuters parents teachers farmers tourists developers teachers seniors tourists farmers youth teachers teachers tourists seniors teachers commuters developers commuters commuters commuters teachers tourists teachers youth smes farmers youth seniors,1
agriculture,rural,187010,patients tourists tourists seniors tourists teachers developers seniors seniors parents developers developers youth seniors parents youth seniors parents tourists smes developers farmers smes youth teachers teachers developers parents tourists commuters,1
healthcare,rural,179010,developers developers commuters teachers teachers smes developers seniors farmers commuters,1
other,coastal,177552,smes patients seniors youth farmers patients farmers tourists farmers farmers,1
healthcare,unknown,82154,teachers smes seniors,1
education,urban,75002,farmers commuters parents,1
healthcare,suburban,249468,developers tourists youth commuters seniors youth parents farmers farmers seniors,1
technology,rural,247517,smes developers youth patients tourists parents teachers smes tourists farmers smes farmers patients farmers teachers teachers youth seniors commuters tourists,1
other,unknown,16519,patients developers patients teachers farmers tourists developers farmers patients teachers patients developers seniors commuters parents parents commuters commuters commuters developers,1
healthcare,rural,231329,patients farmers commuters,0
agriculture,suburban,17680,teachers commuters youth teachers commuters farmers seniors commuters commuters tourists developers developers patients parents youth parents tourists farmers parents farmers commuters farmers commuters commuters developers commuters teachers tourists developers seniors,1
technology,inland,234708,farmers smes farmers seniors farmers farmers parents seniors teachers smes patients commuters youth smes teachers commuters youth farmers youth developers smes teachers patients developers youth commuters commuters smes parents seniors,1
agriculture,suburban,266358,patients commuters commuters developers seniors seniors farmers smes commuters seniors,0
other,rural,273292,commuters developers patients teachers youth teachers tourists parents farmers youth,0
education,unknown,171314,farmers commuters teachers,1
infrastructure,rural,213734,smes tourists patients patients patients patients smes patients farmers seniors patients seniors tourists smes patients patients tourists developers teachers parents youth youth farmers patients seniors developers youth teachers smes farmers,1
other,suburban,71650,teachers patients farmers tourists smes youth smes commuters parents patients,1
technology,rural,276525,youth seniors commuters youth seniors smes youth farmers patients tourists,1
technology,suburban,48078,commuters seniors smes developers farmers commuters youth tourists farmers seniors smes youth smes tourists farmers tourists commuters patients youth commuters,1
healthcare,suburban,289290,teachers teachers tourists teachers commuters developers youth farmers smes youth tourists tourists parents tourists parents farmers smes tourists developers teachers,1
agriculture,unknown,26532,farmers patients developers commuters farmers patients parents patients farmers smes,1
healthcare,inland,183141,commuters youth tourists commuters seniors developers farmers seniors seniors commuters teachers seniors patients youth tourists parents patients commuters seniors parents tourists tourists teachers commuters youth developers commuters farmers teachers patients,1
infrastructure,coastal,89783,youth smes developers tourists farmers youth developers patients seniors teachers,1
infrastructure,coastal,217468,developers youth farmers teachers tourists tourists parents seniors patients commuters developers parents seniors developers parents youth seniors parents patients farmers farmers youth smes commuters developers seniors seniors parents teachers teachers,1
other,unknown,166214,youth developers teachers teachers tourists seniors tourists youth smes developers developers tourists commuters patients tourists patients seniors parents smes teachers,1
healthcare,unknown,163982,tourists parents farmers commuters tourists parents youth smes farmers tourists,1
technology,suburban,274231,seniors patients developers youth tourists parents tourists commuters seniors developers,1
healthcare,urban,111406,developers tourists patients,1
infrastructure,urban,159352,teachers teachers farmers,1
other,coastal,34845,parents parents smes developers patients commuters tourists youth seniors patients,1
agriculture,suburban,86823,farmers patients smes,1
healthcare,unknown,85344,youth youth developers smes parents farmers farmers developers commuters farmers,1
education,coastal,47700,patients commuters seniors commuters tourists youth smes youth smes teachers patients farmers seniors commuters patients smes patients tourists commuters tourists,1
healthcare,coastal,118703,developers smes youth developers seniors tourists tourists patients farmers smes,1
healthcare,unknown,136976,patients developers commuters,1
infrastructure,unknown,147430,tourists developers commuters parents smes seniors seniors patients youth seniors seniors commuters youth tourists patients seniors smes seniors seniors patients,1
healthcare,inland,227186,developers farmers youth teachers youth teachers tourists youth teachers teachers,1
healthcare,unknown,118287,patients developers smes tourists patients farmers smes seniors patients smes tourists developers tourists teachers youth farmers parents developers developers commuters smes developers seniors commuters seniors patients youth developers teachers parents,1
healthcare,rural,280789,commuters parents farmers,0
agriculture,rural,191478,seniors commuters commuters smes patients parents seniors smes seniors tourists farmers patients parents tourists farmers tourists patients farmers developers smes teachers teachers teachers patients commuters developers tourists parents parents patients,1
education,rural,134920,farmers parents commuters,1
infrastructure,suburban,223096,patients parents commuters patients youth developers patients commuters developers youth seniors tourists commuters seniors teachers parents farmers smes smes parents,1
education,unknown,171883,teachers tourists tourists commuters youth youth commuters farmers seniors smes,1
agriculture,unknown,270391,youth patients seniors parents patients developers smes patients patients seniors farmers developers commuters parents farmers seniors tourists teachers tourists tourists seniors farmers developers commuters tourists patients parents patients smes teachers,0
healthcare,suburban,280674,tourists parents commuters smes parents seniors teachers tourists smes developers,1
infrastructure,rural,216283,youth youth farmers commuters developers parents patients teachers developers commuters,0
infrastructure,urban,75062,farmers smes farmers,1
education,suburban,141747,tourists smes farmers,1
infrastructure,inland,211082,seniors youth seniors commuters commuters parents patients patients commuters smes teachers commuters developers developers developers tourists teachers tourists youth smes,1
other,unknown,172019,farmers seniors parents teachers seniors parents teachers tourists youth commuters commuters patients parents patients tourists tourists tourists tourists seniors commuters,1
infrastructure,coastal,111176,smes parents youth teachers patients commuters farmers tourists patients smes tourists commuters smes commuters patients seniors teachers parents commuters developers teachers farmers farmers parents seniors tourists patients smes teachers parents,1
education,unknown,243618,patients tourists commuters,0
technology,unknown,217052,patients tourists tourists developers teachers teachers tourists developers parents developers youth parents smes youth teachers seniors patients patients commuters patients,1
technology,coastal,200899,teachers teachers seniors,1
other,coastal,204491,teachers commuters teachers farmers patients farmers smes smes patients parents seniors youth parents patients farmers smes tourists parents smes patients,1
other,urban,171147,parents smes teachers,1
infrastructure,unknown,3410,youth patients patients,1
agriculture,urban,237252,teachers seniors farmers,1
healthcare,rural,154637,patients patients farmers smes parents commuters patients patients teachers seniors farmers developers patients youth smes teachers patients teachers farmers parents developers smes developers farmers parents developers developers commuters tourists teachers,1
other,unknown,72747,smes youth developers commuters seniors seniors teachers tourists seniors developers developers youth patients patients youth seniors youth parents parents developers parents farmers smes developers commuters farmers developers parents commuters commuters,1
healthcare,coastal,112965,patients youth teachers,1
education,coastal,146922,teachers teachers youth parents commuters teachers commuters developers youth teachers,1
infrastructure,urban,62241,youth parents parents,1
agriculture,inland,248485,smes smes farmers commuters seniors smes developers teachers youth youth smes smes youth parents farmers developers commuters teachers patients developers,1
agriculture,inland,99665,smes youth farmers commuters youth smes parents parents seniors seniors seniors tourists seniors patients youth smes seniors youth tourists tourists parents seniors youth smes tourists farmers youth parents tourists teachers,1
other,coastal,195481,teachers commuters teachers tourists developers patients tourists farmers smes parents,1
infrastructure,inland,129181,seniors youth youth developers farmers patients developers smes commuters commuters parents smes youth commuters parents patients patients teachers seniors seniors developers commuters patients smes tourists developers youth developers smes farmers,1
agriculture,unknown,100005,parents youth teachers commuters farmers farmers teachers seniors farmers farmers,1
technology,urban,189056,smes developers commuters developers tourists teachers commuters commuters youth parents developers teachers farmers developers commuters developers youth parents teachers smes,1
infrastructure,urban,20347,seniors parents youth teachers teachers seniors youth farmers seniors parents,1
technology,unknown,218078,smes farmers farmers teachers commuters smes youth patients commuters tourists seniors teachers parents youth developers seniors parents parents developers commuters,1
healthcare,inland,146340,smes teachers patients developers seniors farmers seniors seniors tourists patients,1
other,coastal,22809,developers teachers developers farmers patients developers developers patients farmers youth commuters farmers seniors parents tourists commuters seniors tourists tourists smes,1
infrastructure,urban,287769,commuters patients parents seniors youth smes youth tourists farmers farmers patients developers youth commuters developers youth patients parents teachers farmers teachers developers tourists commuters farmers seniors parents parents seniors smes,1
healthcare,inland,15896,patients youth patients,1
education,inland,35615,patients smes patients patients parents commuters parents seniors tourists commuters youth seniors commuters commuters developers commuters farmers commuters youth developers patients seniors developers patients commuters youth farmers teachers commuters youth,1
other,urban,127980,farmers youth teachers,1
agriculture,inland,103291,commuters developers smes developers teachers seniors teachers commuters patients seniors developers commuters seniors youth farmers patients parents commuters youth seniors smes seniors smes youth tourists seniors developers smes developers patients,1
education,unknown,42719,patients developers tourists youth tourists teachers teachers farmers patients patients,1
healthcare,coastal,251852,youth farmers youth youth patients farmers parents farmers parents farmers commuters smes youth patients commuters youth seniors commuters tourists farmers tourists youth smes developers parents commuters developers smes developers smes,1
education,suburban,261291,smes patients farmers,0
technology,rural,45336,teachers smes teachers,1
technology,rural,255277,smes commuters smes developers teachers tourists developers seniors smes youth seniors smes patients parents commuters developers tourists commuters tourists parents teachers developers tourists smes developers patients smes commuters teachers youth,1
agriculture,inland,257039,farmers teachers seniors commuters patients smes parents smes seniors patients tourists parents youth commuters teachers developers smes patients farmers teachers,1
healthcare,suburban,194695,patients tourists patients commuters parents patients seniors patients developers developers parents commuters developers commuters youth teachers farmers tourists youth commuters youth farmers youth teachers seniors developers youth tourists developers seniors,1
education,rural,117467,smes tourists farmers,1
agriculture,urban,95156,youth commuters commuters,1
technology,inland,68663,patients youth farmers parents developers farmers teachers seniors teachers youth,1
healthcare,rural,240534,smes smes tourists,1
technology,suburban,139232,smes parents parents tourists seniors commuters commuters parents tourists smes tourists teachers parents farmers seniors teachers teachers commuters developers patients,1
education,urban,100113,tourists smes commuters farmers tourists commuters parents developers farmers teachers teachers commuters smes teachers seniors patients developers smes commuters youth tourists seniors parents parents commuters seniors tourists tourists tourists smes,1
healthcare,urban,89427,tourists developers patients smes tourists parents developers farmers youth youth,1
other,coastal,249047,commuters developers patients developers developers smes smes seniors developers parents teachers youth patients patients developers smes parents patients teachers teachers,1
infrastructure,urban,61312,youth commuters teachers patients patients smes seniors commuters youth youth,1
other,unknown,177327,patients developers commuters tourists developers farmers developers seniors smes seniors commuters developers patients teachers youth youth developers farmers parents developers patients commuters farmers youth patients commuters farmers commuters seniors patients,1
infrastructure,urban,231665,farmers tourists parents teachers smes smes tourists commuters teachers seniors youth seniors youth commuters teachers youth parents youth tourists youth patients parents commuters tourists developers developers developers youth youth teachers,1
healthcare,coastal,168249,parents patients commuters,1
agriculture,urban,286945,parents parents smes,1
other,coastal,256661,youth parents patients developers seniors parents tourists smes parents commuters commuters parents tourists commuters seniors teachers smes parents teachers developers seniors parents seniors smes commuters patients teachers farmers farmers smes,1
healthcare,inland,219843,patients teachers teachers seniors farmers teachers farmers smes smes teachers,1
technology,rural,95313,smes smes seniors patients seniors tourists patients commuters patients smes commuters tourists teachers commuters developers patients teachers farmers teachers farmers parents farmers smes developers farmers teachers youth commuters patients youth,1
infrastructure,coastal,34986,commuters developers parents tourists seniors farmers parents tourists farmers teachers parents smes parents farmers commuters patients tourists farmers patients developers,1
agriculture,unknown,92693,seniors youth developers tourists farmers tourists developers commuters developers farmers parents tourists seniors teachers tourists commuters smes patients tourists patients,1
healthcare,rural,150128,parents developers commuters,1
technology,inland,151703,developers youth youth teachers tourists developers teachers tourists patients tourists developers developers farmers commuters patients youth developers commuters tourists teachers youth youth smes youth farmers farmers youth parents developers smes,1
agriculture,inland,86661,parents teachers parents teachers commuters teachers patients smes tourists parents parents parents teachers patients parents commuters developers teachers developers parents,1
agriculture,inland,210460,developers smes developers tourists tourists commuters seniors commuters youth teachers tourists parents developers youth smes tourists developers farmers tourists teachers,1
agriculture,urban,125623,commuters developers developers parents seniors commuters teachers commuters farmers teachers youth parents teachers teachers commuters tourists seniors parents youth developers patients commuters patients seniors commuters smes commuters developers youth developers,1
technology,urban,16241,tourists teachers teachers,1
agriculture,coastal,255294,teachers developers youth youth seniors patients farmers developers farmers commuters,0
infrastructure,inland,53851,developers patients farmers commuters tourists farmers seniors developers teachers commuters patients seniors farmers parents commuters tourists developers tourists tourists parents,1
healthcare,suburban,6352,smes seniors tourists farmers teachers youth developers teachers youth developers,1
education,suburban,122548,commuters patients seniors farmers youth youth tourists farmers commuters teachers,1
infrastructure,urban,99885,youth seniors smes developers patients smes commuters youth smes developers,1
healthcare,suburban,273728,developers smes teachers parents seniors tourists farmers seniors youth youth smes commuters patients parents seniors patients smes parents commuters seniors,1
infrastructure,coastal,278838,commuters youth teachers smes seniors teachers seniors tourists commuters seniors teachers seniors patients farmers parents smes tourists commuters tourists youth,1
infrastructure,coastal,298260,farmers farmers seniors teachers commuters patients farmers developers tourists youth farmers farmers parents commuters seniors youth developers teachers parents seniors farmers patients parents parents smes tourists youth smes developers commuters,1
technology,urban,120942,farmers parents youth developers patients developers smes developers seniors patients,1
infrastructure,coastal,111934,developers patients seniors seniors commuters tourists developers farmers teachers farmers patients farmers farmers farmers parents smes youth smes smes teachers,1
technology,urban,170086,parents parents parents commuters tourists developers farmers developers developers tourists developers youth youth youth farmers commuters seniors tourists farmers smes,1
infrastructure,rural,42738,tourists smes developers youth parents commuters commuters teachers parents smes farmers commuters patients parents parents farmers smes smes tourists youth teachers farmers developers seniors seniors commuters tourists parents tourists developers,1
agriculture,suburban,177601,parents patients teachers,1
other,rural,57439,tourists seniors farmers developers seniors commuters seniors smes teachers farmers,1
infrastructure,urban,257988,commuters smes parents smes patients farmers youth farmers parents commuters commuters tourists youth smes farmers developers smes seniors developers parents developers tourists tourists developers seniors teachers teachers parents parents seniors,1
other,rural,215220,teachers tourists youth teachers smes seniors youth parents parents parents tourists parents tourists smes teachers farmers teachers developers smes developers,1
education,suburban,132764,commuters parents patients youth smes patients developers smes teachers patients smes seniors teachers youth developers parents parents tourists seniors patients farmers tourists teachers parents farmers commuters tourists seniors commuters teachers,1
other,unknown,87222,parents farmers teachers smes parents seniors parents seniors patients commuters smes farmers farmers tourists developers seniors parents tourists commuters patients,1
other,urban,142573,youth patients seniors,1
infrastructure,urban,148375,farmers patients commuters smes patients developers parents tourists youth parents,1
technology,coastal,228241,seniors smes commuters tourists smes teachers tourists smes tourists tourists,1
agriculture,rural,220381,developers youth parents smes commuters seniors tourists tourists developers parents,1
technology,rural,274535,youth youth parents,1
technology,suburban,12135,youth developers youth,1
technology,rural,252333,parents developers smes tourists developers tourists commuters developers developers teachers developers tourists seniors parents tourists tourists smes developers teachers tourists parents seniors developers seniors patients parents parents teachers teachers commuters,1
education,urban,176514,farmers commuters developers patients teachers teachers farmers tourists smes developers patients parents commuters parents parents teachers parents youth developers tourists parents smes developers parents seniors smes smes patients commuters developers,1
other,unknown,27197,teachers farmers commuters youth youth commuters smes teachers youth patients,1
technology,inland,127079,youth patients commuters tourists developers smes commuters youth tourists patients farmers youth parents commuters smes tourists tourists farmers parents commuters smes smes parents youth developers patients commuters tourists commuters farmers,1
education,coastal,34309,farmers commuters youth teachers tourists tourists smes tourists teachers parents developers patients patients parents tourists patients youth seniors youth parents teachers patients developers patients farmers seniors tourists youth patients teachers,1
healthcare,suburban,95348,patients developers farmers seniors farmers developers developers parents seniors patients parents developers patients parents teachers smes smes patients teachers seniors smes seniors commuters farmers developers teachers parents parents commuters developers,1
other,urban,216248,patients commuters commuters patients patients patients patients parents developers patients tourists youth teachers parents tourists patients farmers teachers teachers parents seniors teachers farmers patients patients parents parents farmers patients patients,1
infrastructure,inland,67171,parents teachers developers parents farmers commuters seniors youth tourists seniors,1
healthcare,inland,26143,farmers developers tourists developers youth farmers commuters parents farmers patients parents developers seniors developers patients tourists farmers parents parents tourists,1
infrastructure,suburban,130393,tourists developers patients smes youth seniors tourists smes developers patients smes commuters smes developers farmers seniors tourists patients teachers parents,1
healthcare,coastal,85238,farmers seniors farmers,1
infrastructure,suburban,208783,seniors tourists tourists,0
healthcare,urban,86781,patients teachers seniors patients patients teachers farmers developers seniors tourists teachers teachers youth seniors farmers smes youth parents patients commuters farmers seniors commuters teachers tourists parents youth teachers tourists patients,1
other,unknown,153904,tourists commuters youth seniors parents patients seniors patients tourists developers patients tourists youth teachers developers farmers teachers developers smes tourists commuters smes seniors teachers farmers commuters teachers patients patients tourists,1
technology,coastal,194445,commuters patients seniors developers smes seniors parents seniors farmers farmers patients youth parents teachers teachers seniors seniors teachers youth tourists,1
technology,unknown,271316,tourists developers tourists,1
infrastructure,coastal,199849,teachers parents commuters commuters smes teachers commuters smes farmers parents developers youth developers smes farmers commuters tourists patients patients seniors farmers youth farmers parents patients commuters teachers commuters patients developers,1
education,coastal,81818,teachers patients tourists commuters parents parents parents youth youth teachers patients parents smes teachers teachers youth teachers commuters smes seniors farmers smes farmers tourists commuters seniors smes youth farmers smes,1
education,rural,99280,tourists patients developers,1
healthcare,unknown,298189,seniors patients commuters parents smes smes patients youth seniors patients parents teachers parents commuters developers developers parents tourists developers commuters,1
technology,urban,78125,commuters tourists farmers,1
agriculture,inland,8915,commuters farmers seniors seniors commuters youth seniors teachers parents farmers teachers parents seniors smes commuters parents farmers teachers patients smes teachers youth teachers parents farmers patients farmers youth parents seniors,1
infrastructure,urban,222203,farmers teachers youth patients seniors parents tourists parents farmers developers teachers commuters parents seniors tourists tourists farmers youth farmers commuters seniors tourists developers smes farmers youth parents tourists smes teachers,1
healthcare,suburban,183333,seniors patients youth patients farmers tourists commuters farmers seniors farmers tourists developers tourists patients parents tourists teachers developers tourists teachers tourists youth parents patients tourists patients parents parents teachers patients,1
healthcare,unknown,5462,youth smes youth farmers tourists youth seniors patients commuters developers smes seniors youth tourists developers commuters tourists seniors youth teachers,1
agriculture,urban,222743,smes tourists smes youth farmers patients parents developers smes commuters,1
healthcare,coastal,28130,seniors farmers youth patients commuters commuters developers teachers youth seniors,1
healthcare,rural,42051,youth teachers parents parents developers teachers commuters patients developers teachers smes smes teachers commuters parents smes youth farmers commuters commuters farmers farmers patients teachers patients developers tourists developers parents tourists,1
technology,coastal,179188,parents parents smes commuters smes tourists commuters seniors smes smes,1
infrastructure,urban,77495,smes parents farmers youth smes tourists teachers patients patients seniors,1
other,inland,109880,smes parents smes youth seniors farmers seniors parents commuters smes developers youth youth tourists parents seniors patients youth patients youth parents seniors youth patients smes commuters developers commuters seniors teachers,1
other,suburban,49939,tourists smes youth developers commuters smes seniors farmers smes youth farmers teachers farmers commuters farmers patients farmers farmers commuters tourists,1
agriculture,urban,131119,smes teachers teachers commuters youth developers developers farmers parents parents farmers youth patients parents youth youth patients teachers teachers parents farmers teachers tourists parents parents youth farmers seniors seniors commuters,1
agriculture,rural,289743,youth teachers commuters,0
healthcare,suburban,272409,seniors developers seniors parents parents tourists smes smes smes youth,1
agriculture,urban,294906,youth developers parents farmers seniors developers smes patients tourists farmers parents teachers seniors patients tourists teachers teachers teachers developers smes teachers developers seniors tourists farmers commuters smes farmers farmers parents,1
technology,unknown,221978,teachers commuters parents tourists seniors commuters youth youth commuters farmers youth smes smes tourists smes parents commuters smes developers smes,1
other,suburban,206383,teachers parents youth developers teachers developers developers parents farmers teachers farmers commuters patients youth tourists tourists youth parents developers developers,1
other,inland,152784,farmers seniors farmers commuters tourists tourists youth patients teachers seniors,1
infrastructure,unknown,231491,youth tourists youth parents teachers farmers patients commuters farmers commuters developers teachers farmers farmers teachers seniors seniors parents developers developers youth tourists commuters youth developers teachers teachers youth patients farmers,1
other,unknown,144621,farmers smes smes farmers tourists seniors youth teachers parents parents developers farmers seniors seniors smes smes youth parents developers youth,1
infrastructure,suburban,236158,seniors smes patients,0
technology,inland,57713,parents farmers farmers,1
infrastructure,rural,276191,tourists smes tourists farmers tourists seniors youth parents developers patients smes seniors smes seniors youth teachers tourists farmers seniors parents patients teachers farmers youth teachers patients farmers commuters commuters teachers,1
other,unknown,209408,farmers smes developers,0
agriculture,inland,186567,tourists youth parents commuters developers commuters patients commuters farmers patients youth farmers teachers teachers tourists commuters developers farmers commuters patients teachers patients seniors developers developers developers tourists parents parents youth,1
technology,coastal,73035,commuters parents parents farmers teachers seniors parents farmers smes smes,1
infrastructure,rural,299072,commuters patients developers patients commuters teachers tourists tourists smes smes,0
technology,coastal,102159,youth tourists farmers tourists developers farmers commuters smes youth teachers,1
education,coastal,44575,farmers tourists seniors tourists teachers teachers teachers tourists smes teachers developers patients youth smes teachers farmers patients farmers parents smes teachers developers smes youth parents farmers youth seniors developers parents,1
education,rural,249342,teachers tourists youth,0
agriculture,urban,147426,parents developers seniors,1
